Id,Name,variant,Table Days,Fridge Days,Freezer Days,Human Readable,Defrost Time,Storage Instructions
cltdh1ayb00009cv9h51g2vrl,Hot Dogs,unopened,0,14,60,2 months,1,
cltdh1ayc00019cv9esf3hkcw,Hot Dogs,opened,0,7,60,2 months,1,
cltdh1ayc00029cv9fpdzb9fq,Luncheon Meat,,0,14,60,2 months,1,
cltdh1ayd00039cv90a0ofn3y,Bacon,,0,7,30,1 month,1,
cltdh1ayd00049cv95nbjdqcn,Sausage,,0,2,60, 2 months,1,
cltdh1ayd00059cv9152l5g7d,Ground Meats,,0,2,122,4 Months,1,
cltdh1aye00069cv938k09abn,"Fresh beef, lamb, and pork",,0,5,122,4 Months,1,
cltdh1aye00079cv960uuh4et,Ham,"uncured, uncooked",0,5,182,6 Months,1,
cltdh1aye00089cv9fm5x5ps6,Ham,"uncured, cooked",0,4,122,4 Months,1,
cltdh1aye00099cv99awzffaq,Ham,"cooked, vacuum-sealed",0,14,60,2 Months,1,
cltdh1ayf000a9cv92uy77ry0,"Prosciutto, Parma, Serrano",,0,4,30,1 month,1,
cltdh1ayf000b9cv93tgg8en4,Poultry,whole,0,2,365,1 year,1,
cltdh1ayf000c9cv9dmvu8w5h,Poultry,pieces,0,2,274,9 months,1,
cltdh1ayf000d9cv99hwacxje,Fish,"fatty (salmon, tuna, bluefish, mackerel, etc)",0,3,90,3 months,1,
cltdh1ayg000e9cv9hc6tejvd,Fish,"(cod, flounder, haddock, halibut, sole, etc.)",0,3,243,8 months,1,
cltdh1ayg000f9cv91pbo8tgt,Crab and Lobster,,0,4,120,4 months,1,
cltdh1ayg000g9cv90yaqe05z,Shrimp,,0,5,365,1 year,1,
cltdh1ayh000h9cv9betx6l0o,Eggs,shell,0,35,0,,1,
cltdh1ayh000i9cv946g0cc5i,Eggs,raw yolks/whites,0,4,365,1 year,1,
cltdh1ayh000j9cv9563m7rnv,Eggs,hard-cooked,0,7,0,,1,
cltdh1ayh000k9cv9hvb908ly,Eggs,Cooked,0,4,90,3 months,1,
cltdh1ayi000l9cv98ithh2pi,Garlic,separated from head,21,0,0,,1,
cltdh1ayi000m9cv92hgd4ym5,Garlic,peeled,7,0,0,,1,
cltdh1ayi000n9cv9a0pc3lfs,Garlic,Head,180,0,0,,1,
cltdh1ayi000o9cv9f92e0xgj,Cilantro,,0,14,0,,1,"Fill a mason jar or drinking glass a 1/4 the way full with water (about an inch of water). Place unwashed cilantro, stems down, in the water (like a bouquet of flowers). The base of the stems should sit in the water.

Place a Ziploc bag (or a reusable silicone bag) over the cilantro leaves. Secure the bag at the mouth of the glass jar with a rubber band. Store the cilantro in the refrigerator.

Shelf Life: Cilantro will keep for about 2-3 weeks this way. Change the water as needed.

Place 1-2 layers of paper towel on the kitchen counter (or use a lightweight cloth towel, like a flour sack). Add the unwashed cilantro in a single layer over the top of the paper towel. Roll up the cilantro in the paper towel.

Place the rolled-up cilantro in an airtight container or Ziploc bag. Store in the fridge. If you have a large bunch of cilantro, you may need to separate the bunch into two portions and use multiple paper towels.

Shelf Life: Cilantro will keep for about 2 weeks this way. Change the paper towel if it becomes too wet. 
https://livesimply.me/how-to-store-cilantro/"
cltdh1ayj000p9cv9923v3a17,Peppers,whole,0,14,0,,1,"
    First, if the whole fresh bell peppers are packaged in plastic, remove the bell peppers from the plastic bag before storage. Excess moisture can build up in the plastic, so the better option is to set those peppers free!
    Place the peppers either in a reusable cloth bag (like this or this) or store the peppers loose in the crisper drawer. The bag will keep the peppers organized.
https://livesimply.me/how-to-store-bell-peppers/"
cltdh1ayj000q9cv98pdm6ikj,Peppers,halved,0,7,0,,1,"If you only use half a bell pepper and have the other half leftover, keep the seeds and stem attached to the unused half and store the bell pepper in the crisper drawer of the fridge (either in a reusable bag or loose in the crisper drawer). "
cltdh1ayj000r9cv93b6a79qo,Peppers,sliced,0,2,0,,1,"Place the pepper slices in a glass, airtight container. The cut peppers will keep fresh for 2-3 days.

If you want the cut pepper to keep for longer (7 days), place a paper towel at the bottom of the glass container with the pepper slices on top. An alternative method is to place the sliced peppers in a bag with a paper towel. "
cltdh1ayj000s9cv9bngo8fau,Onions,,14,60,0,,1,"Ideally, onions should be stored in a cool, dark place between 45 and 55 degrees. They will last at least two to three months in the refrigerator as well — just be mindful that their texture may get somewhat soft in the fridge as onions absorb moisture very easily. 
https://www.allrecipes.com/article/how-to-store-onions/

Halved, sliced, or chopped raw onions should also be refrigerated, in an airtight container or resealable plastic bag. They will last seven to 10 days when stored this way.

Cooked onions should be stored in an airtight container and refrigerated as well. Like most leftovers, cooked onions will last up to four days in the fridge. "
cltdh1ayk000t9cv95z4m0yq2,Bread,,4,14,90,3 months,1,
cltdh1ayk000u9cv951fa8i6q,Cabbage,,0,14,0,,1,
cltdh1ayk000v9cv9biqf8sf5,Leafy Greens,,0,7,0,,1,
cltdh1ayl000x9cv92zj3466g,Green Onions,,0,101,0,,1,
cltdh1ayl000y9cv9hy1qhugb,Apples,,0,42,0,,1,
cltdh1ayl000z9cv907hl0cb9,Raspberries/Strawberries/Blackberries,,0,3,0,,1,
cltdh1aym00109cv91hksg7aa,Blueberries,,0,14,0,,1,
cltdh1aym00119cv96yrzf437,Tomatoes,,0,7,0,,1,
cltdh1aym00129cv93bsobtmk,Broccoli/Cauliflower,,0,5,0,,1,
cltdh1aym00139cv9ck438wt8,Carrots/Parsnips,,0,21,0,,1,
cltdh1ayn00149cv94gf572n9,Squash,,0,5,0,,1,
