Gender,Special Condition,Min Age,Max Age,calcium,chromium,copper,fluoride,iodine,iron,magnesium,manganese,molybdenum,phosphorus,selenium,zinc,potassium,sodium,chloride
Male,,1,3,700,11,340,0.7,90,7,80,1.2,17,460,20,3,2000,800,1.5
Male,,4,8,1000,15,440,1,90,10,130,1.5,22,500,30,5,2300,1000,1.9
Female,,1,3,700,11,340,0.7,90,7,80,1.2,17,460,20,3,2000,800,1.5
Female,,4,8,1000,15,440,1,90,10,130,1.5,22,500,30,5,2300,1000,1.9
Male,,9,13,1300,25,700,2,120,8,240,1.9,34,1250,40,8,2500,1200,2.3
Male,,14,18,1300,35,890,3,150,11,410,2.2,43,1250,55,11,3000,1500,2.3
Male,,19,30,1000,35,900,4,150,8,400,2.3,45,700,55,11,3400,1500,2.3
Male,,31,50,1000,35,900,4,150,8,420,2.3,45,700,55,11,3400,1500,2.3
Male,,51,70,1000,30,900,4,150,8,420,2.3,45,700,55,11,3400,1500,2
Male,,71,200,1200,30,900,4,150,8,420,2.3,45,700,55,11,3400,1500,1.8
Female,,9,1,1300,21,700,2,120,8,240,1.6,34,1250,40,8,2300,1200,2.3
Female,,14,18,1300,24,890,3,150,15,360,1.6,43,1250,55,9,2300,1500,2.3
Female,,19,30,1000,25,900,3,150,18,310,1.8,45,700,55,8,2600,1500,2.3
Female,,31,50,1000,25,900,3,150,18,320,1.8,45,700,55,8,2600,1500,2.3
Female,,51,70,1200,20,900,3,150,8,320,1.8,45,700,55,8,2600,1500,2
Female,,71,200,1200,20,900,3,150,8,320,1.8,45,700,55,8,2600,1500,1.8
Female,Pregnant,14,18,1300,29,1000,3,220,27,400,2,50,1250,60,12,2600,1500,2.3
Female,Pregnant,19,30,1000,30,1000,3,220,27,350,2,50,700,60,11,2900,1500,2.3
Female,Pregnant,31,50,1000,30,1000,3,220,27,360,2,50,700,60,11,2900,1500,2.3
Female,Lactating,14,18,1300,44,1300,3,290,10,360,2.6,50,1250,70,13,2500,1500,2.3
Female,Lactating,19,30,1000,45,1300,3,290,9,310,2.6,50,700,70,12,2800,1500,2.3
Female,Lactating,31,50,1000,45,1300,3,290,9,320,2.6,50,700,70,12,2800,1500,2.3
