ID,Nutrient,Unit Abbreviation,Unit,Advanced View,Order,Notes,Alternate Names,Type,Parent Nutrient,Cronometer csv,Cronometer,Recipe Keeper,My Fitness Pal,DRI,Web
clt6dqtz90000awv9anfb343o,Calories,kcal,calorie,FALSE,1,,,General,,Energy (kcal),208,recipeNutCalories,Calories,,calories
clt6dqtza0001awv954je0dq5,Alcohol,g,gram,TRUE,2,,,Alcohol,,Alcohol (g),221,,,,
clt6dqtzb0002awv94szib334,Ash,g,gram,TRUE,3,,,General,,Ash (g),207,,,,
clt6dqtzb0003awv9b2i1hul2,Beta-Hydroxybutyrate,g,gram,TRUE,4,,,General,,Beta-Hydroxybutyrate (g),,,,,
clt6dqtzb0004awv91e8gf3dl,Caffeine,mg,miligram,TRUE,5,,,General,,Caffeine (mg),262,,,,
clt6dqtzb0005awv91zm27dpi,Oxalate,mg,miligram,TRUE,6,,,General,,Oxalate (mg),10012,,,,
clt6dqtzc0006awv99dw8ba6d,Water,L,liter,TRUE,7,,,General,,Water (g),255,,,,
clt6dqtzc0007awv9h1mv5pbi,Total Carbohydrates,g,gram,FALSE,8,,,Carbohydrate,,Carbs (g),205,recipeNutTotalCarbohydrate,Carbohydrates (g),,carbohydrateContent
clt6dqtzc0008awv91e2h8zwj,Dietary Fiber,g,gram,FALSE,9,,,Carbohydrate,Total Carbohydrates,Fiber (g),291,recipeNutDietaryFiber,Fiber,,fiberContent
clt6dqtzc0009awv97h7p9kym,Starch,g,gram,TRUE,10,,,Carbohydrate,Total Carbohydrates,Starch (g),209,,,,
clt6dqtzc000aawv9hrqg23gq,Sugars,g,gram,FALSE,11,,,Carbohydrate,Total Carbohydrates,Sugars (g),269,recipeNutSugars,Sugar,,sugarContent
clt6dqtzd000bawv9f13b022w,Allulose,g,gram,TRUE,12,,,Carbohydrate,Sugars,Allulose (g),,,,,
clt6dqtzd000cawv92yc45siv,Fructose,g,gram,TRUE,13,,,Carbohydrate,Sugars,Fructose (g),212,,,,
clt6dqtzd000dawv94b7024wo,Galactose,g,gram,TRUE,14,,,Carbohydrate,Sugars,Galactose (g),287,,,,
