gender,Special Condition,Min Age,Max Age,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Pantothenic Acid,Biotin,Choline
Male,None,1,3,300,15,15,6,30,0.5,0.5,6,0.5,150,0.9,2,8,200
Male,None,4,8,400,25,15,7,55,0.6,0.6,8,0.6,200,1.2,3,12,250
Female,None,1,3,300,15,15,6,30,0.5,0.5,6,0.5,150,0.9,2,8,200
Female,None,4,8,400,25,15,7,55,0.6,0.6,8,0.6,200,1.2,3,12,250
Male,None,9,13,600,45,15,11,60,0.9,0.9,12,1,300,1.8,4,20,375
Male,None,14,18,900,75,15,15,75,1.2,1.3,16,1.3,400,2.4,5,25,550
Male,None,19,30,900,90,15,15,120,1.2,1.3,16,1.3,400,2.4,5,30,550
Male,None,31,50,900,90,15,15,120,1.2,1.3,16,1.3,400,2.4,5,30,550
Male,None,51,70,900,90,15,15,120,1.2,1.3,16,1.7,400,2.4,5,30,550
Male,None,71,200,900,90,20,15,120,1.2,1.3,16,1.7,400,2.4,5,30,550
Female,None,9,13,600,45,15,11,60,0.9,0.9,12,1,300,1.8,4,20,375
Female,None,14,18,700,65,15,15,75,1,1,14,1.2,400,2.4,5,25,400
Female,None,19,30,700,75,15,15,90,1.1,1.1,14,1.3,400,2.4,5,30,425
Female,None,31,50,700,75,15,15,90,1.1,1.1,14,1.3,400,2.4,5,30,425
Female,None,51,70,700,75,15,15,90,1.1,1.1,14,1.5,400,2.4,5,30,425
Female,None,71,200,700,75,20,15,90,1.1,1.1,14,1.5,400,2.4,5,30,425
Female,Pregnant,14,18,750,80,15,15,75,1.4,1.4,18,1.9,600,2.6,6,30,450
Female,Pregnant,19,30,770,85,15,15,90,1.4,1.4,18,1.9,600,2.6,6,30,450
Female,Pregnant,31,50,770,85,15,15,90,1.4,1.4,18,1.9,600,2.6,6,30,450
Female,LACTATING,14,18,1200,115,15,19,75,1.4,1.6,17,2,500,2.8,7,35,550
Female,LACTATING,19,30,1300,120,15,19,90,1.4,1.6,17,2,500,2.8,7,35,550
Female,LACTATING,31,50,1300,120,15,19,90,1.4,1.6,17,2,500,2.8,7,35,550
