gender,Special Condition,Min Age,Max Age,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Pantothenic Acid,Biotin,Choline
MALE,,1,3,600,400,63,200,ND,ND,ND,10,30,300,ND,ND,ND,1
FEMALE,,1,3,600,400,63,200,ND,ND,ND,10,30,300,ND,ND,ND,1
,,4,8,900,650,75,300,ND,ND,ND,15,40,400,ND,ND,ND,1
,,4,8,900,650,75,300,ND,ND,ND,15,40,400,ND,ND,ND,1
MALE,,9,13,"1,700","1,200",100,600,ND,ND,ND,20,60,600,ND,ND,ND,2
MALE,,14,18,"2,800","1,800",100,800,ND,ND,ND,30,80,800,ND,ND,ND,3
MALE,,19,30,"3,000","2,000",100,"1,000",ND,ND,ND,35,100,"1,000",ND,ND,ND,3.5
MALE,,31,50,"3,000","2,000",100,"1,000",ND,ND,ND,35,100,"1,000",ND,ND,ND,3.5
MALE,,51,70,"3,000","2,000",100,"1,000",ND,ND,ND,35,100,"1,000",ND,ND,ND,3.5
MALE,,70,,"3,000","2,000",100,"1,000",ND,ND,ND,35,100,"1,000",ND,ND,ND,3.5
FEMALE,,9,13,"1,700","1,200",100,600,ND,ND,ND,20,60,600,ND,ND,ND,2
FEMALE,,14,18,"2,800","1,800",100,800,ND,ND,ND,30,80,800,ND,ND,ND,3
FEMALE,,19,30,"3,000","2,000",100,"1,000",ND,ND,ND,35,100,"1,000",ND,ND,ND,3.5
FEMALE,,31,50,"3,000","2,000",100,"1,000",ND,ND,ND,35,100,"1,000",ND,ND,ND,3.5
FEMALE,,51,70,"3,000","2,000",100,"1,000",ND,ND,ND,35,100,"1,000",ND,ND,ND,3.5
FEMALE,,70,,"3,000","2,000",100,"1,000",ND,ND,ND,35,100,"1,000",ND,ND,ND,3.5
FEMALE,Pregnant,14,18,"2,800","1,800",100,800,ND,ND,ND,30,80,800,ND,ND,ND,3
FEMALE,Pregnant,19,30,"3,000","2,000",100,"1,000",ND,ND,ND,35,100,"1,000",ND,ND,ND,3.5
FEMALE,Pregnant,31,50,"3,000","2,000",100,"1,000",ND,ND,ND,35,100,"1,000",ND,ND,ND,3.5
FEMALE,Lactation,14,18,"2,800","1,800",100,800,ND,ND,ND,30,80,800,ND,ND,ND,3
FEMALE,Lactation,19,30,"3,000","2,000",100,"1,000",ND,ND,ND,35,100,"1,000",ND,ND,ND,3.5
FEMALE,Lactation,31,50,"3,000","2,000",100,"1,000",ND,ND,ND,35,100,"1,000",ND,ND,ND,3.5
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
