ID,Nutrient,Important,is Macro,Unit Abbreviation,Unit,Advanced View,Order,Notes,Target,Preference,Threshold,Alternate Names,Type,Parent Nutrient,Cronometer csv,Cronometer,Recipe Keeper,My Fitness Pal,DRI,Web
6e0fcef3-ec44-426c-9945-a53737e96c79,Calories,FALSE,TRUE,kcal,calorie,FALSE,1,,1800,UNDER,0.1,,General,,Energy (kcal),208,recipeNutCalories,Calories,,calories
86827360-21f7-4d82-be82-3e96620dc7f8,Alcohol,FALSE,TRUE,g,gram,TRUE,2,,,NONE,,,Alcohol,,Alcohol (g),221,,,,
eca9c700-e2fd-449f-a23f-d850ba7dd843,Ash,FALSE,FALSE,g,gram,TRUE,3,,,NONE,,,General,,Ash (g),207,,,,
ecd8ecdb-247e-4200-aa2a-2b8d39c521ed,Beta-Hydroxybutyrate,FALSE,FALSE,g,gram,TRUE,4,,,NONE,,,General,,Beta-Hydroxybutyrate (g),,,,,
a8c44e65-ef38-4a53-9042-0eb20b65b5a9,Caffeine,FALSE,FALSE,mg,miligram,TRUE,5,,,NONE,,,General,,Caffeine (mg),262,,,,
84dc4f82-af33-4ca0-995b-0f092eb20852,Oxalate,FALSE,FALSE,mg,miligram,TRUE,6,,,NONE,,,General,,Oxalate (mg),10012,,,,
b62133a8-60c6-405e-b7b0-3469531cf23f,Water,FALSE,FALSE,L,liter,TRUE,7,,3.7,OVER,0.1,,General,,Water (g),255,,,,
0e5a0c1b-0308-4d46-9f46-141e1829e202,Total Carbohydrates,FALSE,TRUE,g,gram,FALSE,8,,,NONE,,,Carbohydrate,,Carbs (g),205,recipeNutTotalCarbohydrate,Carbohydrates (g),,carbohydrateContent
737d014c-219e-45e8-b7a5-3b0b25829a34,Dietary Fiber,TRUE,FALSE,g,gram,FALSE,9,,34,OVER,0.1,,Carbohydrate,Total Carbohydrates,Fiber (g),291,recipeNutDietaryFiber,Fiber,,fiberContent
77cf9a52-8781-4369-a491-ebf10a1aa3fa,Starch,FALSE,FALSE,g,gram,TRUE,10,,,NONE,,,Carbohydrate,Total Carbohydrates,Starch (g),209,,,,
75083492-7d85-421c-b10c-c7c702d7283e,Sugars,FALSE,FALSE,g,gram,FALSE,11,,,NONE,,,Carbohydrate,Total Carbohydrates,Sugars (g),269,recipeNutSugars,Sugar,,sugarContent
f77328e5-3ae8-4a92-9d9b-331aece110ff,Allulose,FALSE,FALSE,g,gram,TRUE,12,,,NONE,,,Carbohydrate,Sugars,Allulose (g),,,,,
58d3db16-54d6-464b-ad52-f6e606d25043,Fructose,FALSE,FALSE,g,gram,TRUE,13,,,NONE,,,Carbohydrate,Sugars,Fructose (g),212,,,,
3fe91afe-daef-4252-9563-af9a210deb95,Galactose,FALSE,FALSE,g,gram,TRUE,14,,,NONE,,,Carbohydrate,Sugars,Galactose (g),287,,,,
7a91f75e-f027-478c-9c87-98b6c27148f4,Glucose,FALSE,FALSE,g,gram,TRUE,15,,,NONE,,,Carbohydrate,Sugars,Glucose (g),211,,,,
91f9c81e-1ab5-4c88-b4cd-635db22125bd,Lactose,FALSE,FALSE,g,gram,TRUE,16,,,NONE,,,Carbohydrate,Sugars,Lactose (g),213,,,,
33749726-027e-48ec-b121-ae92c6c10363,Maltose,FALSE,FALSE,g,gram,TRUE,17,,,NONE,,,Carbohydrate,Sugars,Maltose (g),214,,,,
d91b5dd1-db1f-4b5e-a094-6d65f1c488e5,Sucrose,FALSE,FALSE,g,gram,TRUE,18,,,NONE,,,Carbohydrate,Sugars,Sucrose (g),210,,,,
3c356ec3-0b13-4ea1-a58e-83949ef0e2cc,Added Sugars,TRUE,FALSE,g,gram,FALSE,19,,36,UNDER,,,Carbohydrate,Total Carbohydrates,Added Sugars (g),10009,,,,
668cc76c-459b-4a0c-a3e8-136d4c6acb60,Sugar Alcohol,FALSE,FALSE,g,gram,TRUE,20,,,NONE,,,Carbohydrate,Total Carbohydrates,Sugar Alcohol (g),10007,,,,
cee7f055-ca23-4fc8-9d26-13c9f666f53c,Net Carbs,FALSE,FALSE,g,gram,TRUE,21,,,NONE,,,Carbohydrate,Total Carbohydrates,Net Carbs (g),-1205,,,,
1970c0ef-fc55-49ee-8ee3-228f5e061acb,Total Fat,FALSE,TRUE,g,gram,FALSE,22,,,NONE,,,Fat,,Fat (g),204,recipeNutTotalFat,Fat (g),,fatContent
1d3f287e-4e49-4646-b1f2-2f02cee4eb3d,Monounsaturated Fat,FALSE,FALSE,g,gram,FALSE,23,,,NONE,,,Fat,Total Fat,Monounsaturated (g),645,,Monounsaturated Fat,,
408c1306-5eb8-4a85-aa0e-13c6c8573eb7,Polyunsaturated Fat,FALSE,FALSE,g,gram,FALSE,24,,,NONE,,,Fat,Total Fat,Polyunsaturated (g),646,,Polyunsaturated Fat,,
80514162-dec7-4dcc-918b-07833c6417a8,Omega-3,FALSE,FALSE,g,gram,TRUE,25,,,NONE,,α-Linolenic Acid,Fat,Polyunsaturated Fat,Omega-3 (g),10001,,,,
c2a43103-dd21-4d70-81dd-0d283ebfd432,Omega-6,FALSE,FALSE,g,gram,TRUE,26,,,NONE,,Linoleic Acid,Fat,Polyunsaturated Fat,Omega-6 (g),10002,,,,
036b12f3-651f-443a-b716-af604998b9ae,Saturated Fat,TRUE,FALSE,g,gram,FALSE,27,,13,UNDER,0.05,,Fat,Total Fat,Saturated (g),606,recipeNutSaturatedFat,Saturated Fat,,saturatedFatContent
