ID,Nutrient,Important,is Macro,Unit,Advanced View,Order,Notes,Alternate Names,Type,Parent Nutrient
6e0fcef3-ec44-426c-9945-a53737e96c79,Calories,FALSE,TRUE,calorie,FALSE,1,,,General,
86827360-21f7-4d82-be82-3e96620dc7f8,Alcohol,FALSE,TRUE,gram,TRUE,2,,,Alcohol,
eca9c700-e2fd-449f-a23f-d850ba7dd843,Ash,FALSE,FALSE,gram,TRUE,3,,,General,
ecd8ecdb-247e-4200-aa2a-2b8d39c521ed,Beta-Hydroxybutyrate,FALSE,FALSE,gram,TRUE,4,,,General,
a8c44e65-ef38-4a53-9042-0eb20b65b5a9,Caffeine,FALSE,FALSE,miligram,TRUE,5,,,General,
84dc4f82-af33-4ca0-995b-0f092eb20852,Oxalate,FALSE,FALSE,miligram,TRUE,6,,,General,
b62133a8-60c6-405e-b7b0-3469531cf23f,Water,FALSE,FALSE,liter,TRUE,7,,,General,
0e5a0c1b-0308-4d46-9f46-141e1829e202,Total Carbohydrates,FALSE,TRUE,gram,FALSE,8,,,Carbohydrate,
737d014c-219e-45e8-b7a5-3b0b25829a34,Dietary Fiber,TRUE,FALSE,gram,FALSE,9,,,Carbohydrate,Total Carbohydrates
77cf9a52-8781-4369-a491-ebf10a1aa3fa,Starch,FALSE,FALSE,gram,TRUE,10,,,Carbohydrate,Total Carbohydrates
75083492-7d85-421c-b10c-c7c702d7283e,Sugars,FALSE,FALSE,gram,FALSE,11,,,Carbohydrate,Total Carbohydrates
f77328e5-3ae8-4a92-9d9b-331aece110ff,Allulose,FALSE,FALSE,gram,TRUE,12,,,Carbohydrate,Sugars
58d3db16-54d6-464b-ad52-f6e606d25043,Fructose,FALSE,FALSE,gram,TRUE,13,,,Carbohydrate,Sugars
3fe91afe-daef-4252-9563-af9a210deb95,Galactose,FALSE,FALSE,gram,TRUE,14,,,Carbohydrate,Sugars
7a91f75e-f027-478c-9c87-98b6c27148f4,Glucose,FALSE,FALSE,gram,TRUE,15,,,Carbohydrate,Sugars
91f9c81e-1ab5-4c88-b4cd-635db22125bd,Lactose,FALSE,FALSE,gram,TRUE,16,,,Carbohydrate,Sugars
33749726-027e-48ec-b121-ae92c6c10363,Maltose,FALSE,FALSE,gram,TRUE,17,,,Carbohydrate,Sugars
d91b5dd1-db1f-4b5e-a094-6d65f1c488e5,Sucrose,FALSE,FALSE,gram,TRUE,18,,,Carbohydrate,Sugars
3c356ec3-0b13-4ea1-a58e-83949ef0e2cc,Added Sugars,TRUE,FALSE,gram,FALSE,19,,,Carbohydrate,Total Carbohydrates
668cc76c-459b-4a0c-a3e8-136d4c6acb60,Sugar Alcohol,FALSE,FALSE,gram,TRUE,20,,,Carbohydrate,Total Carbohydrates
cee7f055-ca23-4fc8-9d26-13c9f666f53c,Net Carbs,FALSE,FALSE,gram,TRUE,21,,,Carbohydrate,Total Carbohydrates
1970c0ef-fc55-49ee-8ee3-228f5e061acb,Total Fat,FALSE,TRUE,gram,FALSE,22,,,Fat,
1d3f287e-4e49-4646-b1f2-2f02cee4eb3d,Monounsaturated Fat,FALSE,FALSE,gram,FALSE,23,,,Fat,Total Fat
408c1306-5eb8-4a85-aa0e-13c6c8573eb7,Polyunsaturated Fat,FALSE,FALSE,gram,FALSE,24,,,Fat,Total Fat
80514162-dec7-4dcc-918b-07833c6417a8,Omega-3,FALSE,FALSE,gram,TRUE,25,,α-Linolenic Acid,Fat,Polyunsaturated Fat
